Player,Span,MatDescending,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,Education,City
DPMD Jayawardene,19972015,647,25688,374,38.98,53,14,Feb-32,61.57,0,434,0,22.59,Nalanda College,Colombo
KC Sangakkara,20002015,587,27757,319,46.8,63,0,,,0,603,136,,"Trinity College, Kandy",Kandy
ST Jayasuriya,19892011,582,20966,340,34.25,42,437,Jun-29,35.6,6,205,0,1.34,St.Servatius College,Matara
TM Dilshan,19992016,497,17671,193,38.16,39,154,04-Apr,44.16,0,242,3,6,Kalutara Vidyalaya,Kaluthara
M Muralidaran,19922011,487,1934,67,9.38,0,1331,Sep-51,22.82,77,199,0,13.44,St. Anthony's College,Kandy 
WPUJC Vaas,19942009,438,5140,100*,18.69,1,760,Aug-19,28.4,16,90,0,9.7,St. Joseph's College,Colombo
AD Mathews,20082023,410,14425,200*,40.74,18,197,Jun-20,36.01,1,150,0,4.73,St. Joseph's College,Colombo
PA de Silva,19842003,401,15645,267,37.78,31,135,Apr-30,39.88,0,138,0,2.09,D.S. Senanayake College,Colombo
A Ranatunga,19822000,362,12561,135*,35.78,8,95,Apr-14,50.49,0,110,0,14.7,Ananda College,Colombo
MS Atapattu,19902007,360,14036,249,38.03,27,1,01-Sep,65,0,128,0,26.96,Ananda College,Colombo
SL Malinga,20042020,340,978,64,7.64,0,546,Jun-38,28.08,13,59,0,20.44,,
LD Chandimal,20102023,301,10211,206*,34.38,18,,,,,182,24,,Ananda College,Colombo
WU Tharanga,20052019,291,9102,174*,31.93,18,,,,,76,0,,,
HP Tillakaratne,19862004,283,8334,204*,35.61,13,6,01-Mar,27.66,0,211,8,7.94,,
RS Mahanama,19861999,265,7738,225,29.42,8,0,,,0,165,0,,,
KMDN Kulasekara,20032017,263,1933,73,14.42,0,313,May-22,32.18,1,71,0,17.76,,
NLTC Perera,20092021,252,3588,140,20.38,1,231,Jun-44,34.51,4,92,0,14.12,,
RS Kaluwitharana,19902004,238,5644,132*,23.41,5,,,,,225,101,,,
BKG Mendis,20152023,236,8767,245,32.35,12,1,01-Oct,146,0,185,8,113.64,,
RP Arnold,19972007,225,5778,123,32.46,4,51,Mar-47,45.82,0,99,0,13.36,St. Peter's College,Colombo
CRD Fernando,20002016,204,513,39*,8.4,0,301,Jun-27,32.75,4,40,0,24.34,,
MDKJ Perera,20132023,201,6074,153*,29.77,8,,,,,85,17,,,
HDRL Thirimanne,20102022,197,5573,155*,29.48,7,3,Feb-36,48.33,0,82,0,18.84,,
AP Gurusinha,19851996,188,6354,143,31.61,9,46,02-Jul,44.23,0,82,0,12.62,,
HMRKB Herath,19992018,181,1847,80*,13.78,0,525,9/127,28.36,35,38,0,14.58,,
DM de Silva,20152023,180,5897,173,31.03,10,91,Mar-25,45.8,0,122,0,14.76,,
GP Wickramasinghe,19902002,174,899,51,9.08,0,194,Jun-60,40.61,3,44,0,31.53,,
HDPK Dharmasena,19932004,172,2090,69*,21.32,0,207,Jun-72,38.25,3,48,0,16.92,,
RAS Lakmal,20092022,167,1185,42,10.48,0,288,May-47,35.05,4,45,0,24.56,,
UDU Chandana,19942007,163,2243,92,19.17,0,188,6/179,33.79,4,86,0,14.62,,
MD Shanaka,20152023,163,2775,108*,21.18,2,65,May-43,30.06,1,52,0,8.87,,
CK Kapugedera,20062017,153,2745,96,22.87,0,2,Jan-24,117,0,54,0,94.12
BAW Mendis,20082015,145,409,78,10.48,0,288,06-Aug,23.29,9,23,0,12.81
MF Maharoof,20042016,139,1702,72,18.7,0,167,Jun-14,33.64,2,35,0,14.94
FDM Karunaratne,20112023,138,7947,244,38.95,17,2,01-Dec,108.5,0,73,0,69.54
N Dickwella,20142023,137,4841,116,29.16,2,,,,,187,39,
TT Samaraweera,19982013,134,6324,231,44.22,16,26,Apr-49,47.34,0,62,0,3.12
DNT Zoysa,19972007,125,631,47*,10.51,0,172,May-20,31.22,2,17,0,20.7
PVD Chameera,20152023,112,429,29,7.66,0,136,May-16,34.42,2,22,0,26.76
PWH de Silva,20172023,110,1561,80*,19.51,0,162,Jun-24,23.26,3,39,0,3.75
LRD Mendis,19751989,103,2856,124,26.69,4,,,,,23,0,
LPC Silva,19992011,102,2299,152*,27.36,2,3,01-Apr,37.66,0,32,0,10.29
MD Gunathilaka,20152022,101,2641,133,24.91,2,15,Mar-48,42.46,0,41,0,17.55
P Nissanka,20212023,100,3363,137,33.96,4,,,,,27,0,
JR Ratnayeke,19821990,100,1631,93,18.74,0,141,Aug-83,34.31,4,15,0,15.56
RS Kalpage,19921999,97,1138,63,19.96,0,85,Apr-36,44.1,0,43,0,24.14
N Pradeep,20112022,93,177,17*,4.21,0,148,6/132,39.04,1,14,0,34.82
RJ Ratnayake,19821993,93,1045,56,15.59,0,149,Jun-66,35.4,6,20,0,19.8
KIC Asalanka,20212023,90,2471,110,31.67,2,5,Apr-18,31.4,0,21,0,0.27
RS Madugalle,19791988,84,1979,103,23.01,1,0,,,0,27,0,
CBRLS Kumara,20162023,80,150,13*,4.68,0,144,6/122,34.53,1,14,0,29.84
BMAJ Mendis,20102019,80,843,72,18.73,0,40,Mar-15,36.32,0,20,0,17.59
CPH Ramanayake,19861995,80,353,34*,9.8,0,112,May-82,35.08,1,17,0,25.27
RL Dias,19791987,78,2858,121,33.62,5,3,Mar-25,29,0,22,0,4.62
A Dananjaya,20122021,76,487,50*,12.17,0,117,Jun-29,28.96,6,22,0,16.79
M Theekshana,20212023,75,313,38*,13.04,0,89,Apr-25,28.94,0,17,0,15.9
ALF de Mel,19821987,74,792,36,14.4,0,118,6/109,37.43,5,22,0,23.03
SMSM Senanayake,20122016,74,351,42,12.1,0,78,Apr-13,32.29,0,23,0,20.19
C Karunaratne,20192023,69,764,75,20.1,0,49,Apr-43,38.08,0,20,0,17.97
J Mubarak,20022015,69,1327,72,20.73,0,3,01-Sep,59.33,0,36,0,38.59
CAK Rajitha,20162023,68,271,33,7.97,0,105,May-64,34.51,1,13,0,26.54
DA Gunawardene,19982006,67,1889,132,26.6,1,,,,,15,0,
HAPW Jayawardene,20002015,64,2151,154*,27.93,4,,,,,128,33,
SD Anurasiri,19861998,63,153,24,6.65,0,73,Apr-71,41.26,0,14,0,34.6
WIA Fernando,20162023,62,1327,127,22.87,3,,,,,21,0,
PADLR Sandakan,20162021,62,204,25,7.84,0,87,May-95,38.75,2,20,0,30.91
UC Hathurusingha,19911999,61,1943,83,25.9,0,31,Apr-57,48.32,0,13,0,22.41
S Prasanna,20112019,61,640,95,13.06,0,42,Mar-32,52.52,0,11,0,39.46
